,id,caption,like_count,media_type,media_url,permalink,children.data
0,17950764517966543,"Imposter syndrome ✨ I have never talked about it but experienced it so so many times and I am sure you have too 🥲 

So what is it? 🤨
It is the feeling of self-doubt and personal incompetence that persist despite your education, experience, and accomplishments 😔
“What am I doing here?” “I do not belong here” “Everyone must be so much better than me” “I am not worthy of the job”

I never knew something like this existed and found out after I quit my first engineering job.
So why am I talking about this?
Because you might feel the same and it is completely normal 🙂

Imposter feelings represent a conflict between your own self-perception and the way others perceive you. To counter these feelings, you might end up working harder and holding yourself to ever higher standards. This pressure can eventually take a toll on your emotional well-being and your performance.

My advice on overcoming it: If your colleagues and your team/company is happy with your results and work, just calm down a little. Believe in yourself and your abilities! Stop comparing yourself to others. You will eventually feel better over time as you get used to your colleagues and the environment you work in. 

Have you ever experienced it? Share your thoughts or advice in the comment section below ⬇️ ✍️ (I am sure you can help someone) 🥰

_____
#programming #gamergirl #coder #programmerslife #codinglife #code #programmers #programmerlife #girlswhocode #setup #pcsetup
#coding #programmer #coder #javascript #codingpics #code #python #css #computerscience #codingjokes #webdevelopment #tech #softwareengineer #software #codingdecoding #nerd #codingislife #android #worldcode #codinggirl",3421.0,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292721544_718853905888823_2734347052974080427_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=7-aUFlgBChQAX8uZcy7&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT_BVpb9TUmgGnpaSnDNdMAJzuKTJZNRJxjgvoSANIAIjw&oe=62D0529A,https://www.instagram.com/p/Cf1xn4sD1Em/,
1,17929435520462178,"📱 𝙞𝙊𝙎 𝙫𝙨 𝘼𝙣𝙙𝙧𝙤𝙞𝙙 𝘿𝙚𝙫𝙚𝙡𝙤𝙥𝙢𝙚𝙣𝙩: 𝙨𝙞𝙢𝙞𝙡𝙖𝙧𝙞𝙩𝙞𝙚𝙨 𝙖𝙣𝙙 𝙙𝙞𝙛𝙛𝙚𝙧𝙚𝙣𝙘𝙚𝙨, 𝙥𝙖𝙧𝙩 1/2.
•
💭 If you just worked on one of these platforms and wonder how's the other one, I got you covered.
•
🌟 Part 1: What will you find 𝙤𝙣 𝙞𝙊𝙎, coming 𝙛𝙧𝙤𝙢 𝘼𝙣𝙙𝙧𝙤𝙞𝙙:
•
👉 𝙎𝙩𝙧𝙞𝙘𝙩𝙚𝙧 𝘼𝙥𝙥 𝙎𝙩𝙤𝙧𝙚 𝙜𝙪𝙞𝙙𝙚𝙡𝙞𝙣𝙚𝙨 - Apple still has people reviewing every app that's submitted for the store, and their list of rules is much longer.
•
👉 𝙇𝙚𝙨𝙨 𝙩𝙧𝙤𝙪𝙗𝙡𝙚 𝙬𝙞𝙩𝙝 𝙙𝙚𝙫𝙞𝙘𝙚 𝙨𝙪𝙥𝙥𝙤𝙧𝙩 - you have a few screen sized and that's it. No need to worry about custom versions of Android built by Samsung, OnePlus, Xiaomi, etc.
•
👉 𝙇𝙚𝙨𝙨 𝙤𝙛𝙛𝙞𝙘𝙞𝙖𝙡 𝙡𝙞𝙗𝙧𝙖𝙧𝙞𝙚𝙨 𝙖𝙣𝙙 𝙘𝙤𝙙𝙞𝙣𝙜 𝙜𝙪𝙞𝙙𝙚𝙡𝙞𝙣𝙚𝙨 - Google has lots of code samples and packages, like the entire Jetpack collection. On the contrary, Apple never officially upgraded from MVC and their project samples are bad in terms of code quality. Luckily, the worldwide dev community compensates for that with articles and guidelines.
•
🪞 𝙇𝙤𝙩𝙨 𝙤𝙛 𝙨𝙞𝙢𝙞𝙡𝙖𝙧𝙞𝙩𝙞𝙚𝙨 - the languages (Swift and Kotlin) are very much alike, the navigation between screens is similar, the UI is now similar with SwiftUI and Compose, the concept of flavors and targets is quite alike, etc. You'll quickly get up to speed.
•
📝 If you're on the other side, iOS developer wanting to try Android, stay tuned for my 𝙣𝙚𝙭𝙩 𝙥𝙤𝙨𝙩 in which I'll present everything from the other perspective: Android development, coming from iOS.
•
💬 𝙒𝙝𝙖𝙩 𝙞𝙨 𝙩𝙝𝙚 𝙢𝙖𝙞𝙣 𝙩𝙝𝙞𝙣𝙜 𝙩𝙝𝙖𝙩 𝙮𝙤𝙪 𝙡𝙞𝙠𝙚 𝙖𝙗𝙤𝙪𝙩 𝙞𝙊𝙎 𝙤𝙧 𝘼𝙣𝙙𝙧𝙤𝙞𝙙 𝙙𝙚𝙫𝙚𝙡𝙤𝙥𝙢𝙚𝙣𝙩? comment below and follow mobiledevlife for more mobile development insights.
•
#iosdeveloper #iosdevelopment #iosdev #androiddeveloper #androiddevelopment #androiddev #programming #coding #mobiledevelopment #mobileapps #appdeveloper #swift #kotlin #swiftui #macbook #macbookpro #developer #developerlife",744.0,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292350591_999181140722571_484887803172212888_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=zbjrkTSF_VAAX_4B_A5&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT__lmBFBC9g8tZyhnH890CdzzRgpNwWEYT6nD20qYQ0Cg&oe=62D005FB,https://www.instagram.com/p/Cfy9xL1jqjY/,
2,18133492237284902,"Most asked interview question in interview.. 

Do follow us for such interesting interview questions : ui_dev_guide 

Follow us :ui_dev_guide🔥🔥

#html #html5 #css #css3 #javascript #javascriptdeveloper #angular #angularjs #angularlearning #masterangular #angularmaterial #angulardeveloper #typescript #reactjs #frontenddeveloper #softwaredeveloper #webdeveloper #coding  #programmer  #webdevelopment #uidesigner  #javascripts #javascripttutorial #javascript30 #javascriptengineer #frontendchallenge #interviewtips #interviewquestions #angular6",942.0,CAROUSEL_ALBUM,,https://www.instagram.com/p/CfwmvBet1G0/,"[{'id': '18233386978143055'}, {'id': '18182571508174644'}, {'id': '17978894794570555'}, {'id': '17955423364807280'}, {'id': '17913089717548860'}, {'id': '18020245807398784'}, {'id': '17902762700625148'}]"
3,17947543160072668,"Happy weekend and happy coding people👨🏻‍💻🙌
.
.
.
.
.
.
.
.
.

🔖

#softwareengineer #iosdeveloper #webdeveloper #flutterdeveloper #frontenddeveloper #appdeveloper  #programming #softwareengineer #coding #code #100daysofcode #javascript #reactjs #developer #developerlife #programminghumor #coderlife #python #php #desksetup #appdevelopment #uidesign #frontend #backenddeveloper #codinggirl #flutter thefullstack_mentor comment_sense",2340.0,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292327120_136510662393719_6806930051273542777_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=Il1ENkstK4gAX-d6CjK&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT9LIAoLrdggbfm_b2KrKLNWG2luwNDPxaM2yo6cguS-gw&oe=62D0A7DC,https://www.instagram.com/p/Cfw1N8LD4mS/,
4,17945490634962146,"Introduction to C++ : Structures !!!!🎯
----------------------------------------
Follow lathee_codes for more ⚡
----------------------------------------
Art credit: artstationhq ❤️
----------------------------------------
A structure is a user-defined data type in C/C++. A structure creates a data type that can be used to group items of possibly different types into a single type. 

In C++, a structure is the same as a class except for a few differences. The most important of them is security. A Structure is not secure and cannot hide its implementation details from the end user while a class is secure and can hide its programming and designing details.
------------------------------------------------------

Follow to learn more about c++,html ,css , javascript.

Don't forget to like, share and save the post.

If you have any questions feel free to comment✨.

Thank you 💖

--------------------------------------
Tags: 

#coding #webdevelopement #computerscience #html #css #javascript #coders #fullstack #codingisfun #codingbootcamp #codingchallenge #learncode #reactjs #vscode #programmerslife💻 #100daysofcode #csstricks #codingjokes #htmlcss #codingjokes #100daysofcodechallenge #frontenddev #frontenddeveloper #frontendengineer #html5 #htmlcoding #htmltutorial #html5website #htmlcode #html_css",3936.0,CAROUSEL_ALBUM,,https://www.instagram.com/p/CfyqRa6tyxh/,"[{'id': '17937834434090661'}, {'id': '18148323784253974'}, {'id': '17853053411768086'}, {'id': '18166963015219995'}, {'id': '18165173659244717'}, {'id': '18246711709108412'}, {'id': '17931348515348737'}, {'id': '17871347264685024'}, {'id': '18021614194400927'}]"
5,17987664919522369,"Taking a break from 👩🏻‍💻🖥

First, it's important to take breaks regularly to avoid burnout. 🤕

Second, when you do take a break, make sure to focus on activities that are completely unrelated to work so that you can fully relax. 🧘‍♀️

Finally, don't feel guilty about taking a break - it's important to recharge your batteries so that you can be productive when you return to work. 🔋

I'm gonna recharge my batteries cycling around this morning 🚴‍♀️🚴‍♀️

What do you usually do on weekends to take a break from coding?",1331.0,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292812885_1196981621142702_5526637929355742548_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=dNw-3bZURLcAX90yrrZ&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT-XhgVDurIPubrkSwFZDtvwkMUBNdgSfJjLTlx9El_6-w&oe=62D0DC75,https://www.instagram.com/p/Cf1R4tTOYse/,
6,17869246022734200,"Follow more code.clash

If you find this content useful, tap the ♥️ icon, share, and consider giving me a follow. Thanks!
.
Please comment or like ❤️

Video By  juliocodes
.

#coding #flex #typescript #html #css #webdeveloping #webdevelopers #webdevelopment #reactnative #frontenddeveloper #frontenddevelopment #frontenddev #javascript #javascriptdeveloper #htmlcoding #htmlcode #cssanimation #csstricks #programmingisfun #code #developerslife #vscode",2284.0,VIDEO,,https://www.instagram.com/reel/CfwC0b1lVel/,
7,17888142545617036,"Beginner programmer vs expert programmer 👨‍💻

Share your thoughts in the comments 👇
Want to connect? DM me! 💬

#programmingtips #programmingisfun #programminglanguages #programmingislife #learnprogramming #buildupdevs #programming #coding #developer #flutter #flutterdeveloper #programmerlife #programming_language #nodejs #softwaredeveloper #learntocode #frontenddeveloper #developerspace #developerstuff #blockchainrevolution #blockchaindevelopers #blockchaindev #appdeveloper #seniordeveloper #seniorprogrammer #code #coders #python #java",1582.0,CAROUSEL_ALBUM,,https://www.instagram.com/p/CfwAbzOvccv/,"[{'id': '17860612892732571'}, {'id': '18233227141185119'}, {'id': '17869746191729460'}, {'id': '17925753140305287'}, {'id': '17949601540993350'}, {'id': '17990663221500679'}, {'id': '17937130946204307'}, {'id': '17899861190546749'}, {'id': '17956775671895431'}, {'id': '18167768380243439'}]"
8,17953903837938402,"JavaScript Frameworks Battles,🤺 (Part.4)⁣⁣
⁣
-) Svelte ⁣
⁣
Svelte is a modern JavaScript framework for building static web apps that are quick, lean, and enjoyable to use for developers. Svelte may be used to create single, reusable components for any project, including bigger apps developed in Angular, React, Vue, or any other framework.⁣
⁣
Pros ➕ ➕⁣
-) Components Easy to Understand⁣
-) Concise Code and Light Files ⁣
-) Responsiveness with Labeled Statements⁣
-) Simple Out-Of-The-Box Global State Management⁣
-) Built-in Accessibility and Unused CSS Checks⁣
⁣
Cons ❌ ❌⁣
-) It doesn’t offer any of the features of those frameworks (React or Vue)⁣
-) Vanilla.js first in order to have a better understanding of Svelte⁣
-) Not suitable for larger teams that want to build every extra feature⁣
⁣
However ... is Svelte getting more and more popular? 🤔⁣

Yes, because of ...⁣
... very small size once compiled⁣
... its source code is easy to understand ⁣
... Svelte.js doesn’t embed a virtual DOM⁣
... the final script is very light and fast to run⁣
... you can use HTML markup or XML files⁣
⁣
In their words ... 
… simple, powerful, and elegant 💬⁣
⁣
Yours, KosDevLab⁣
⁣
#js #frameworks #battles #series #programmer #programming #coding #setup #routine #life #coderslife #developer #python #ai #datascience #developing #developerslife #webdeveloper #developerstuff #developersparadise #software #google #codingdays #peoplewhocode #gymshark #vibes #letsgo #kosdevlab",1257.0,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292584782_777432853437729_7523924291022919490_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=dnHCcvpXNH0AX9cGzG_&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT_5lOzZvHjORA5aERsI0koqnUQc0t1J7HjUf-PPolffYw&oe=62D02E4F,https://www.instagram.com/p/CfzAqODj8N2/,
9,17920545425353609,"Follow for more 💡🌐🚀

coders.world
coders.world

.
.
.
.
.

 #python #python3ofcode #programmers #coder #programming #developerlife #programming language #womenwhocode #codinggirl #entrepreneurial #softwareengineer #100daysofcode #programmingisfun #developer #coding #software #programminglife #codinglife #code",,IMAGE,https://scontent.cdninstagram.com/v/t51.29350-15/292468883_529180975616002_9156369015249219644_n.webp?stp=dst-jpg&_nc_cat=1&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=xANY19xjqNoAX_gM3Af&_nc_ht=scontent.cdninstagram.com&edm=APCawUEEAAAA&oh=00_AT-eCbWAmQNqzmmvS7JB5MvocaEhzommanZMY99pPa2xDA&oe=62CFD522,https://www.instagram.com/p/Cf1JZTuj3lo/,
